Wavelength,"μ a, SO2 > 98 %","μ a, SO2 = 0 %"
[nm],[mm−1],[mm−1]
251,44.02,48.32
252,42.29,48.89
254,43.58,49.47
256,44.89,50.26
258,46.38,50.95
260,47.89,51.57
262,49.48,52.19
264,51,52.81
266,52.22,53.32
268,53.29,53.83
270,54.13,54.34
272,54.59,54.63
274,54.99,54.32
276,54.97,53.92
278,54.63,53.56
280,54.14,53.19
282,53.34,52.77
284,52.3,52.03
286,50.45,50.67
288,48.22,48.72
290,46.13,45.94
292,43.58,43.08
294,40.5,40.29
296,37.82,37.45
298,35.12,34.81
300,32.52,33.15
302,30.99,32.12
304,30.01,31.25
306,29.69,30.47
308,29.75,30.28
310,30.03,30.95
312,30.73,32.1
314,31.49,33.25
316,32.45,34.43
318,33.76,35.61
320,35.15,36.86
322,36.61,38.22
324,38.03,39.5
326,39.49,40.67
328,40.94,41.7
330,42.29,42.61
332,43.46,43.51
334,44.48,44.45
336,45.42,45.94
338,46.02,47.5
340,46.46,48.9
342,46.86,49.89
344,47.23,50.81
346,47.14,51.73
348,46.73,52.68
350,46.29,53.76
352,45.8,54.73
354,45.24,55.68
356,44.37,56.62
358,43.36,57.2
360,42.38,57.74
362,41.67,58.1
364,41.22,58.43
366,40.86,58.76
368,40.72,59.1
370,41.14,59.44
372,42.09,59.74
374,43.14,60.04
376,44.26,60.34
378,45.87,60.67
380,47.86,61.28
382,50.38,61.73
384,54.31,62.83
386,57.72,64.26
388,62.58,65.75
390,68.33,67.75
392,73.62,71.01
394,79.07,74.09
396,84,76.95
398,88.56,79.78
400,93.07,82.54
402,97.4,85.59
404,101.82,89.21
406,106.16,92.73
408,110.73,96.09
410,113.81,99.87
412,116.09,104.21
414,117.97,108.92
416,118.04,114.03
418,117.22,119.62
420,115.39,125.1
422,111.45,131.52
424,106.3,139.37
426,100.61,145.3
428,94.94,151.01
430,89.18,155.62
432,82.69,159.31
434,74.61,158.3
436,66.95,156.93
438,58.47,133.73
440,51.07,118.33
442,46.6,107.88
444,42.24,88.84
446,38.21,74.3
448,34.26,54.74
450,31.48,33.81
452,29.42,25.94
454,27.66,19.82
456,26,17.04
458,24.47,13.61
460,22.82,11.45
462,21.33,10.37
464,20.1,9.64
466,18.97,9.12
468,17.93,8.65
470,17.05,8.29
472,16.3,7.99
474,15.71,7.79
476,15.16,7.6
478,14.63,7.44
480,14.15,7.31
482,13.67,7.43
484,13.3,7.56
486,12.92,7.69
488,12.54,7.86
490,12.23,8.1
492,11.94,8.35
494,11.65,8.6
496,11.37,8.87
498,11.19,9.17
500,11.05,9.5
502,10.9,9.88
504,10.74,10.25
506,10.59,10.64
508,10.52,10.99
510,10.55,11.41
512,10.74,11.91
514,11.09,12.42
516,11.59,12.92
518,12.34,13.43
520,13.26,13.98
522,14.36,14.5
524,15.62,15.22
526,17.17,16.04
528,19.2,16.96
530,20.91,17.82
532,22.48,18.66
534,23.91,19.51
536,25.17,20.37
538,26.22,21.25
540,27.13,22.13
542,27.31,23.19
544,26.79,24.01
546,26.06,24.77
548,25.15,25.45
550,23.86,25.99
552,22.54,26.38
554,21.34,26.7
556,20.29,26.8
558,19.55,26.71
560,19.12,26.56
562,19.47,26
564,20.14,25.38
566,21.04,24.74
568,22.56,24.06
570,24.38,23.29
572,25.62,22.38
574,26.7,21.43
576,27.2,20.49
578,26.87,19.64
580,25.75,18.87
582,23.29,18.08
584,20.06,17.27
586,16.51,16.33
588,12.68,15.3
590,9.72,14.21
592,7.32,13.12
594,5.66,11.92
596,4.48,10.6
598,3.6,9.29
600,2.62,7.53
605,1.51,5.55
610,0.88,4.07
615,0.63,3.27
620,0.46,2.82
625,0.35,2.48
630,0.28,2.27
635,0.24,2.1
640,0.2,1.98
645,0.17,1.89
650,0.16,1.8
655,0.16,1.71
660,0.15,1.64
665,0.14,1.58
670,0.14,1.51
675,0.14,1.43
680,0.14,1.35
685,0.14,1.26
690,0.13,1.17
695,0.13,1.1
700,0.14,1
705,0.14,0.93
710,0.17,0.87
715,0.17,0.8
720,0.18,0.75
725,0.19,0.72
730,0.2,0.7
735,0.21,0.7
740,0.22,0.72
745,0.23,0.76
750,0.24,0.81
755,0.26,0.85
760,0.27,0.84
765,0.29,0.8
770,0.3,0.73
775,0.31,0.66
780,0.33,0.59
785,0.34,0.54
790,0.36,0.51
795,0.37,0.48
800,0.38,0.47
805,0.39,0.46
810,0.4,0.45
815,0.42,0.44
820,0.43,0.44
825,0.45,0.43
830,0.46,0.43
835,0.47,0.43
840,0.48,0.43
845,0.48,0.43
850,0.49,0.42
855,0.51,0.43
860,0.51,0.43
865,0.52,0.43
870,0.53,0.43
875,0.55,0.43
880,0.56,0.44
885,0.56,0.45
890,0.56,0.45
895,0.56,0.46
900,0.56,0.46
905,0.57,0.47
910,0.57,0.47
915,0.57,0.47
920,0.57,0.47
925,0.65,0.46
930,0.65,0.45
935,0.65,0.44
940,0.65,0.43
945,0.65,0.41
950,0.65,0.39
955,0.65,0.38
960,0.66,0.36
965,0.68,0.34
970,0.69,0.32
975,0.69,0.31
980,0.68,0.29
985,0.67,0.26
990,0.66,0.25
995,0.65,0.23
"1,000",0.64,0.22
"1,005",0.66,0.31
"1,010",0.65,0.28
"1,015",0.63,0.28
"1,020",0.61,0.28
"1,025",0.6,0.27
"1,030",0.58,0.24
"1,035",0.56,0.24
"1,040",0.53,0.23
"1,045",0.5,0.22
"1,050",0.49,0.22
"1,055",0.48,0.22
"1,060",0.46,0.21
"1,065",0.45,0.2
"1,070",0.42,0.19
"1,075",0.4,0.19
"1,080",0.37,0.18
"1,085",0.35,0.17
"1,090",0.34,0.17
"1,095",0.34,0.16
"1,100",0.35,0.15
"1,105",0.33,0.15
"1,110",0.33,0.16
"1,115",0.33,0.15
"1,120",0.31,0.14
"1,125",0.32,0.14
"1,130",0.31,0.13
"1,135",0.3,0.15
"1,140",0.3,0.16
"1,145",0.29,0.18
"1,150",0.3,0.19
"1,155",0.31,0.21
"1,160",0.32,0.21
"1,165",0.32,0.21
"1,170",0.32,0.21
"1,175",0.32,0.21
"1,180",0.33,0.21
"1,185",0.33,0.21
"1,190",0.34,0.21
"1,195",0.35,0.2
"1,200",0.36,0.2
"1,205",0.37,0.2
"1,210",0.2,0.2
"1,215",0.2,0.2
"1,220",0.2,0.19
"1,225",0.19,0.19
"1,230",0.18,0.17
"1,235",0.18,0.17
"1,240",0.18,0.17
"1,245",0.18,0.17
"1,250",0.17,0.17
"1,255",0.17,0.17
"1,260",0.17,0.17
"1,265",0.17,0.15
"1,270",0.15,0.14
"1,275",0.16,0.15
"1,280",0.18,0.16
"1,285",0.17,0.16
"1,290",0.16,0.16
"1,295",0.18,0.18
"1,300",0.19,0.2
"1,305",0.2,0.21
"1,310",0.21,0.22
"1,315",0.22,0.23
"1,320",0.24,0.26
"1,325",0.26,0.29
"1,330",0.29,0.31
"1,335",0.32,0.34
"1,340",0.35,0.37
"1,345",0.37,0.37
"1,350",0.39,0.38
"1,355",0.42,0.41
"1,360",0.45,0.43
"1,365",0.5,0.51
"1,370",0.59,0.65
"1,375",0.72,0.78
"1,380",0.88,0.92
"1,385",1.07,1.05
"1,390",1.3,1.2
"1,395",1.46,1.35
"1,400",1.62,1.49
"1,405",1.78,1.71
"1,410",1.94,1.83
"1,415",2.04,1.94
"1,420",2.13,2.08
"1,425",2.24,2.27
"1,430",2.33,2.36
"1,435",2.38,2.43
"1,440",2.38,2.5
"1,445",2.4,2.51
"1,450",2.41,2.48
"1,455",2.4,2.44
"1,460",2.38,2.37
"1,465",2.4,2.35
"1,470",2.34,2.33
"1,475",2.27,2.29
"1,480",2.2,2.24
"1,485",2.06,2.17
"1,490",1.89,2.07
"1,495",1.78,1.95
"1,500",1.71,1.82
"1,505",1.63,1.73
"1,510",1.5,1.63
"1,515",1.39,1.54
"1,520",1.34,1.49
"1,525",1.27,1.42
"1,530",1.21,1.33
"1,535",1.15,1.23
"1,540",1.11,1.14
"1,545",1.07,1.09
"1,550",1.03,1.05
"1,555",0.97,1.01
"1,560",0.91,0.97
"1,565",0.85,0.92
"1,570",0.82,0.87
"1,575",0.79,0.82
"1,580",0.75,0.78
"1,585",0.73,0.75
"1,590",0.72,0.71
"1,595",0.7,0.69
"1,600",0.69,0.67
"1,605",0.67,0.65
"1,610",0.66,0.64
"1,615",0.64,0.62
"1,620",0.64,0.62
"1,625",0.63,0.61
"1,630",0.63,0.61
"1,635",0.62,0.61
"1,640",0.62,0.61
"1,645",0.62,0.6
"1,650",0.6,0.59
"1,655",0.58,0.57
"1,660",0.57,0.56
"1,665",0.57,0.56
"1,670",0.57,0.56
"1,675",0.57,0.56
"1,680",0.57,0.56
"1,685",0.57,0.57
"1,690",0.58,0.58
"1,695",0.59,0.58
"1,700",0.6,0.59
"1,705",0.6,0.59
"1,710",0.61,0.6
"1,715",0.61,0.61
"1,720",0.62,0.61
"1,725",0.62,0.62
"1,730",0.64,0.63
"1,735",0.65,0.64
"1,740",0.67,0.65
"1,745",0.69,0.66
"1,750",0.71,0.68
"1,755",0.74,0.72
"1,760",0.76,0.75
"1,765",0.78,0.79
"1,770",0.81,0.81
"1,775",0.83,0.82
"1,780",0.84,0.83
"1,785",0.86,0.84
"1,790",0.88,0.84
"1,795",0.88,0.84
"1,800",0.87,0.84
"1,805",0.86,0.83
"1,810",0.84,0.84
"1,815",0.83,0.84
"1,820",0.81,0.84
"1,825",0.79,0.85
"1,830",0.78,0.88
"1,835",0.78,0.9
"1,840",0.8,0.94
"1,845",0.8,0.97
"1,850",0.87,1.02
"1,855",1.1,1.21
"1,860",1.4,1.81
"1,865",1.78,2.19
"1,870",2.16,2.65
"1,875",3.03,3.24
"1,880",3.9,3.99
"1,885",4.6,5.05
"1,890",5.3,5.89
"1,895",6.16,6.56
"1,900",7.1,7
"1,905",7.4,7.33
"1,910",7.69,7.41
"1,915",8.01,7.41
"1,920",8.08,7.41
"1,925",8.13,7.57
"1,930",8.17,7.7
"1,935",8.22,7.84
"1,940",7.97,7.73
"1,945",7.79,7.57
"1,950",7.58,7.41
"1,955",7.34,7.25
"1,960",7.11,7.07
"1,965",6.87,6.85
"1,970",6.63,6.63
"1,975",6.4,6.41
"1,980",6.17,6.19
"1,985",6,6.04
"1,990",5.86,5.88
"1,995",5.72,5.73